guild_name,chatgpt
barcaroli e pescatori,Boatmen and fishermen
baretari,Cap and hat makers
barilai,Coopers (barrel makers)
barilari,Coopers (barrel makers)
barilleri,Coopers or cask-makers
bastari,Pack-saddle makers
bastaroli,Saddle and harness makers
bastasi del fontego dei turchi,Porters of the Turkish Warehouse
bastasi della dogana da mar,Porters of the Maritime Customs House
bastasi della dogana da terra,Porters of the Land Customs House
bastieri,Saddlers and harness makers
"bastieri, sellai e brillari","Saddlers, saddle-makers, and stirrup makers"
bastioneri,Fortification workers or defensive wall builders
battifoglie d'oro e d'argento,Gold and silver leaf beaters
"battifoglie d'oro, argento e rame","Gold, silver, and copper leaf beaters"
battilana,Wool beaters
battiloro,Gold beaters
battioro alemanni,German gold beaters
battioro e stagneri,Gold beaters and tinsmiths
battitori d'oro e d'argento,Gold and silver beaters
battitori d'oro e indoratori,Gold beaters and gilders
battitori di argento,Silver beaters
battitori di bombace,Cotton beaters
battitori di oro e argento,Gold and silver beaters
baugliari,Trunk makers or chest makers
bavellini,"Unclear, possibly related to textiles or small rope makers"
beccai,Butchers
beccari,Butchers
becchini,Gravediggers and undertakers
belt makers (cinturinarii),Belt and leather strap makers
berrettai,Hat makers
berrettieri,Hat makers
bettolieri,Tavern keepers
biancheggiatori di tele,Linen bleachers
biavaroli,Grain and cereal merchants
bisilieri e pannilini,Silk cloth and fine fabric merchants
blacksmiths (fabbri),Blacksmiths
blacksmiths (ferrai),Blacksmiths
blacksmiths (ferrari d'opera grossa),Blacksmiths
blacksmiths (ferrari),Blacksmiths
"blacksmiths (ferrari, ferrali dell'opera grossa, scopitteri, cortilleri)",Blacksmiths
blacksmiths (li ferrali),Blacksmiths
blacksmiths and silversmiths (fabbri ferrai e argentieri),Blacksmiths and silversmiths
"blacksmiths, cart makers (fabbri di opera grossa)","Blacksmiths, cart makers"
blanket makers (cutrari),Blanket  makers
boat carpenters (calafati),Boat carpenters
boat carpenters (li calafati),Boat carpenters
boccalari,Jug and mug makers (ceramic and earthenware producers)
boccalari e maiolari,Jug makers and majolica artisans
boccaleri,Jug makers
bollatori,Sealers and inspectors (tax or quality control officials)
bolzeri,Purse and pouch makers
bombaciari,Cotton dealers and traders
"bombacignari, rivenditori ed opera bianca","Cotton processors, retailers, and fine cloth workers"
bombasari,Silk and fine fabric merchants
bombaseri,Silk weavers and traders
borozieri,Barrel makers for wine and liquids
borsai,Purse and handbag makers
bossoleri,Casing and cartridge makers (or small container artisans)
bottai,Barrel makers (coopers)
bottari,Barrel and cask makers
bottari e mastellari,Coopers and tub makers
"bottazzeri, tornitori e fuseri","Cask makers, turners, and spindle makers"
bottegari di piu' esercizi,Shopkeepers with multiple businesses
bottegari e fruttaioli,Shopkeepers and fruit sellers
bottegari e pizzicaroli,Shopkeepers and grocers
bottegari lordi e fruttaroli,General shopkeepers and fruit vendors
"bottegari lordi, casolii, salsumari e pizzicagnoli","Shopkeepers, cheesemongers, salted meat vendors, and delicatessen owners"
botteri,Cask and barrel makers (coopers)
bottonai,Button makers
bovai,Cattle breeders or ox herders
bovari,Cattle drivers and herdsmen
bracciali,Day laborers or field workers
brendaiuoli e farraioli,Brandy makers and ironworkers
brentai,Water and wine carriers
brentaroli o zerlotti,Wine carriers or water transporters
brentatori,Wine porters or wine distributors
brentori,Wine and liquid transporters
bronze-founder (lavoratori di stagno e rame),Tin and copper workers (bronze founders)
buccieri,Butchers (possibly pork specialists)
burchieri,Barge operators or boatmen
burchieri da frumento,Grain barge operators
burchieri da legna,Wood barge operators
burchieri da rovinassi,Barge operators transporting rubble and debris
burchieri di badia polesine,Barge operators from Badia Polesine
burchieri di pescantina,Barge operators from Pescantina
burchieri di verona,Barge operators from Verona
bussolari  vetrai,Glass compass makers or glass artisans
butchers (buccheri),Butchers
butchers (li carnizzeri),Butchers
button makers (bottonari),Button makers
cacciaiuoli,"Hunters, game sellers, or firearms dealers"
caffettieri,Coffee makers and sellers
cajonzari,"Possible producers of wooden containers, carts, or transport-related craftsmen"
"cake and pasta makers (pastizari, vermicellari, maccaronari)",Cake and pasta makers
cake makers (confettieri),Cake makers
cake makers (cubaitara),Cake makers
cake makers (cubatari),Cake makers
calafati,Caulkers (ship maintenance workers)
calceolariis,Shoemakers or sandal makers
calcinari,Lime makers and plaster workers
calcineri,Lime kiln operators and lime processors
calderai,Coppersmiths and boiler makers
calderari,Coppersmiths
caldereri,Metal vessel makers
calegari,Shoemakers
"calegari, conciatori e pellattieri","Shoemakers, tanners, and leatherworkers"
calegheri e zavatteri,Shoemakers and clog makers
callegari,Shoemakers or cobblers
callegheri,Shoemakers
calzaiuoli,Cobblers and shoemakers
calzettai,Stocking and sock makers
calzettai in seta,Silk stocking makers
calzettari,Stocking makers
calzettari d'opera bianca,White hosiery makers (fine stockings producers)
calzettari di opera vecchia,Makers of traditional stockings
calzettari di seta,Silk stocking makers
calzettieri,Stocking makers (hosiery artisans)
calzolai,Shoemakers and cobblers
calzolai dell'opera vecchia e pianellai,Traditional shoemakers and slipper makers
calzolai e callegari,Shoemakers and leatherworkers
calzolai e conciatori,Shoemakers and tanners
calzolai e confettori,Shoemakers and confectioners
calzolai lavoranti e garzoni,Journeyman shoemakers and apprentices
"calzolai, conciatori e sellai","Shoemakers, tanners, and saddlers"
calzolari,Hosiery makers or footwear artisans
calzolari e conciatori,Hosiery makers and tanners
calzolari e pianellari (confraternita),"Hosiery makers, slipper makers, and a confraternity"
calzolari e sartori,Hosiery makers and tailors
calzolari et callegari,Hosiery makers and leatherworkers
camalii da olio,Porters for oil transport
camalli,Dockworkers or porters
camalli da vino,Porters for wine transport
camalli della caravana,Porters of the caravan (long-distance transport workers)
camalli della grassia,Porters of the fats and oils trade
cambiatori,Money changers and currency exchangers
canavazzeri,Canvas and coarse fabric merchants
candelari,Candle makers
candelieri di sevo,Tallow candle makers
candelottari,Wax candle makers
"canepari, funari e linaroli","Basket makers, rope makers, and flax workers"
canestreri e cesteri,Basket weavers and wickerwork artisans
cantori o musici,Singers or musicians
capoteri,Hooded cloak makers
cappellai,Hat makers
cappellai lavoranti,Journeyman hat makers
cappellari,Hat makers
caprettari,Goat herders and traders
carbonai,Charcoal makers
carbonari,Charcoal workers and burners
carboneri,Coal and fuel merchants
cardatori,Wool carders
carpenter (falegnami),Carpenters
carpenter (mastri d'ascia),Carpenters
carpenters (carpinteri),Carpenters
carpenters (falegnami di opera bianca),Carpenters
carpenters (falegnami),Carpenters
carpenters (li mastri d'axia),Carpenters
carpenters (li mastrurascia),Carpenters
carpenters (mastri d'ascia),Carpenters
carpenters (mastri di noci),Carpenters
carpenters (mastri d'ascia),Carpenters
carpenters and coopers (falegnami e bottai),Carpenters
carpenters and turner (fabbri lignari e tornatoli),Carpenters
"carpenters, case (casciari)",Carpenters
carpentieri,Carpenters and woodworkers
carradori,Cart and wagon makers (wheelwrights)
carrattori,Heavy cart drivers or transporters
carrettieri,Cart drivers and transporters
carrettieri di borgo e trastevere,Cart drivers from Borgo and Trastevere (Rome)
carrozzieri,Carriage and coach builders
cart maker (carrozzieri),Cart makers
cart makers (carrozzieri),Cart makers
cart-makers (artefici di carri),Cart makers
cartai,Paper makers
cartai e librai,Paper makers and booksellers
cartari,Paper manufacturers
cartari (fabbricanti di carta),Paper manufacturers
cartari di carte da gioco,Playing card manufacturers
cartari e librari,Paper makers and book dealers
cartolai,Stationers and paper goods merchants
carvers (intagliatori),Carvers
"carvers, stone cutters and masons (intagliatori, pirriatori, muratori)","Carvers, stone cutters and masons"
carzatori,Cloth shearers or finishers
casadogli e salumari,Cheese makers and cured meat producers
casaroli,Small-scale cheesemongers or dairy producers
casolini,Cheesemongers
cassari,Chest and storage box makers
casselleri,Cabinetmakers or fine woodworkers
castagnari,Chestnut sellers and traders
castagnari e fruttaroli,Chestnut vendors and fruit sellers
cavalieri e dottori,Knights and doctors (scholars or physicians)
"cavalieri, dottori e studenti","Knights, doctors, and students"
cavallanti,Horse handlers and transporters
cavallari,Horse traders or breeders
cazarolii,Coppersmiths and pot makers
censari,Tax collectors or land revenue officers
centrangolari,Cornerstone cutters or stoneworkers
centrellari e chiavaroli di bauli,Lock and key makers for trunks
centureri,Belt makers and leather strap artisans
ceraioli,Wax workers and candle makers
"ceraioli e pizzicaioli, poi dei ceraioli","Wax artisans and grocers, later only wax artisans"
ceramisti,Ceramic and pottery makers
cerbottalai,Blowgun makers or pipe craftsmen
cereri,Wax candle makers
cestari e cavagnari,Basket makers and large wicker container makers
cesteri,Basket makers
cetrangolari e pizzicaroli,Cornerstone workers and grocers
chappuzzi,Hat makers or possibly cap manufacturers
"chiappuzzi, calderari, sedassari e brustiari","Metalworkers, boiler makers, sieve makers, and charcoal burners"
"chiavaiuoli, ferraiuoli, calderari","Locksmiths, blacksmiths, and coppersmiths"
chiavettieri e spatari,Key makers and sword makers
chiavoneri,Large key makers or locksmiths specializing in fortress keys
chincaglieri,Tinsmiths and sellers of small metal goods
chiodaroli,Nail makers and iron fastener producers
chirurghi e barbieri,Surgeons and barbers
ciabattini,Cobblers (shoe repairmen)
cimadori o sopressadori da panni,Cloth shearers or textile finishers
cimatori,Textile refiners (cloth shearers)
cimatori di panni,Cloth shearers (specifically for wool textiles)
cimatori e garzatori,Cloth shearers and nappers
cintaderi e fresettari,Belt makers and lace makers
cioccolattieri,Chocolate makers
cloth makers (panneri),Wool and fabric manufacturers
coach decorators (carrozzieri di opera gentile),Luxury carriage decorators
coachmen (cocchieri),Carriage drivers
cocchieri,Carriage drivers and coachmen
cocineri e pastizari,Cooks and pastry makers
coirari,Rope makers
coirari (arte grossa),Heavy rope makers
coirari (monte di maritaggio),Rope makers contributing to dowry funds
coirari dell'arte piccola alla zabatteria,Small-scale rope makers (possibly linked to shoemaking)
coltellai,Knife makers
"coltrari, telaioli e materazzari","Quilt makers, loom makers, and mattress makers"
coltreri,Quilt and blanket makers
compagnia del soldo,Brotherhood of the Soldier (mercenary or military guild)
"compagnia delle tre arti: spadari, sellari, guainari","Brotherhood of the Three Arts: Swordsmiths, Saddle Makers, and Scabbard Makers"
compagnia di s. bartolomeo in silice,Brotherhood of St. Bartholomew in Silice
compagnia di san bartolomeo in silice,Brotherhood of St. Bartholomew in Silice
complateari,Mirror makers or glass artisans
compravendi pesce,Fish traders and seafood vendors
concia calzette dell'opera vecchia,Old-style stocking refiners
concia calzoni vecchi,Old trousers refiners or recyclers
conciacurame,Leather refiners (curriers)
conciai,Tanners
conciapelli,Hide tanners and leather workers
conciatori,Leather tanners
conciatori e crivellatori di biade,Leather tanners and grain sifters
conciatori e minadori di pelli,Tanners and skin softeners
conciatori e pellicciai,Leather tanners and furriers
conciatori ingrassatori,Leather tanners specializing in fat treatment
concubinati (confraternita),Brotherhood of Concubinage (Possibly a social or legal association)
"confectioners (confitteri e zuccarari, aromatari)","Confectioners, sugar makers, and spice traders"
confettieri,Confectioners and sweet makers
confettori,Sugar confectioners and pastry makers
confetturieri,Jam and preserve makers
congregazione dei musici,Guild of Musicians
congregazione dei ss. anna e luca dei pittori,Guild of St. Anne and St. Luke of Painters
congregazione dell'arte della seta ai barrettari,Silk workers' congregation at the Hat Makers' guild
contadini,Farmers and agricultural workers
cooks (cucineri),Cooks
coopers (bottai),Coopers
coopers (buttari),Coopers
coopers (mastri bottali),Coopers
coral workers (corallai),Coral workers
corallari,Coral artisans and traders
corallieri,Coral fishers and merchants
corazzai e spadai,Armorers and sword makers
cordai,Rope makers
cordari di leuto,Lute string makers
cordovani,Fine leather artisans (cordovan leather workers)
coroneri,Crown and wreath makers
"correggiai, tavolacciai e scudai","Belt makers, shield makers, and wooden plank workers"
correggiari,Belt makers and leather strap artisans
corrieri,Couriers and messengers
cortelleri e spaderi,Knife makers and swordsmiths
cortellini,Small knife makers
"cortigiani (maggiordomi, camerieri, ecc.)","Courtiers, butlers, and servants"
cortigiani (monte),Courtiers associated with a financial institution or fund
cositori (monte),Sewers or tailors linked to a Monte (financial institution)
cositori (sartori),Sewers and tailors
cottiatori di pesce,Salted fish processors and sellers
credenzieri,Stewards or pantry managers in noble households
crivellonzi,Sieve makers and grain sifters
crockery makers (li scutellari),Dish and bowl makers (potters and ceramic artisans)
cultrari,Cutlers and blade makers
cuochi,Cooks and chefs
cuochi e pasticceri,Cooks and pastry chefs
cuoi d'oro,Gilded leather artisans
cuoiai,Leatherworkers and tanners
"cuoiai, galigai e pezzai","Leatherworkers, shoemakers, and cloth patchers"
cutlers (cutilleri),Knife and blade makers
cutlers and gunmakers (coltellieri e scopettieri),Knife makers and firearm manufacturers
decorators (frinzari),Fringe makers and textile decorators
decorators (guarnamentari),Ornament makers and luxury decorators
decorators for processions (paratori),Decorators
delifichoti (?),
depentori,Painters and decorators
di seta e oro,Silk and gold artisans
diamanteri da duro,Hard diamond cutters (gemstone engravers)
diamanteri da tenero,Soft diamond cutters (gemstone polishers)
disegnadori,Designers and draftsmen
disegnadori di stoffe,Fabric designers (textile pattern makers)
disegnatori di armature e coltelli,Armor and knife designers
distillatori di acquavite,Distillers of spirits (brandy and liquor makers)
distillatori e venditori di acquavite,Distillers and sellers of spirits
doctors and pharmacists (medici e speziali),Physicians and apothecaries
doganieri,Customs officers and tax collectors
doratori,Gilders (gold leaf decorators)
doratori di ferro e lustratori di pietra,Iron gilders and stone polishers
dottori e ministri,Doctors and government officials
drappieri,Drapers (cloth and fabric merchants)
drappieri e revedini,Drapers and textile wholesalers
drappieri strazzaroli,Drapers specializing in secondhand or recycled cloth
droghieri,Grocers and spice merchants
droghieri e speziali,Grocers and apothecaries
"droghieri, speziali e manuali","Grocers, apothecaries, and manual workers"
dyers (tintori),Fabric dyers
ebanisti (scrittorari di ebano),Ebony woodworkers and cabinetmakers
embroiderers (frinzari gallonari e passamanari),Fringe makers and ribbon weavers
embroiderers (imburditori),Embroidery pattern makers
embroiderers (passamanara),Ornamental braid and ribbon makers
embroiderers (racamaturi e passamanari),Embroiderers and braid makers
embroiderers (riccamatori),Fine embroiderers (luxury embroidery artisans)
embroiderers and silk weavers (imborditori e sitalori),Embroiderers and silk fabric artisans
erbaroli,Herbalists and medicinal plant traders
fabbri,Blacksmiths
fabbri di borgo pascolle,Blacksmiths of Borgo Pascolle
fabbri e affini,Blacksmiths and related trades
fabbri e orefici,Blacksmiths and goldsmiths
fabbri ferrai,Iron blacksmiths (general metalworkers)
fabbri ferrariis sive manischalchi,Blacksmiths and farriers (horse specialists)
fabbricanti di armature,Armor makers
fabbricanti di carte da gioco,Playing card manufacturers
fabbricanti di giubboni,Jacket and doublet makers
fabbricatori di calze,Stocking and hosiery makers
fabbricatori di cappelli,Hat makers
fabbricatori di cordelle di seta,Silk ribbon and cord makers
fabbricatori di fustagno,Fustian fabric makers
fabricatori,Manufacturers and general craftsmen
fabricatori e falegnami,Manufacturers and carpenters
"fabricatori, pipernieri, tagliamonti","Manufacturers, stone carvers, and quarry workers"
fabris lignariis,Woodworking blacksmiths
facchini,Porters and laborers
facchini della veneranda compagnia di s. venanzio,Porters of the Venerable Company of St. Venantius
falegnami,Carpenters and woodworkers
falegnami da grosseria,Common carpenters (bulk woodworkers)
falegnami e bottai,Carpenters and barrel makers (coopers)
falegnami e muratori,Carpenters and masons
falegnami fini,Fine carpenters (cabinetmakers and furniture makers)
"falegnami, maestri d'ascia, piccapietre, sellai, bastai","Carpenters, master shipwrights, stonecutters, saddlers, and pack-saddle makers"
farinai,Flour millers
farinaioli,Flour sellers
farinari,Milling specialists
farinari del mercato,Market flour sellers
farinaroli e granaroli,Flour and grain merchants
farinotti,Small-scale flour dealers or mill workers
fellucari,"Boat builders (likely for feluccas, a type of small sailboat)"
"fellucari, pescatori e marinari","Boat builders, fishermen, and sailors"
fenestreri,Window makers and glaziers
ferrai,Ironworkers and blacksmiths
ferrari,Blacksmiths and farriers
"ferrari (arte piccola e grossa) dei cortellari, spadari, scoppettieri","Blacksmiths, cutlers, sword makers, and gun makers"
ferrari e calderari,Ironworkers and coppersmiths
ferrari e parolari,Ironworkers and pan makers
festari,Festival and event organizers
festari e ciambellari,Festival organizers and ring-shaped pastry makers
festari e offellari,Festival organizers and pastry makers
fidelari,"Rope makers (specializing in strong, durable ropes)"
filacanevi,Flax spinners
filarmonici,Musicians and music guild members
filatoglieri,Wool thread spinners
filatori,Thread spinners
filatori di canapa,Hemp spinners
filatori di seta,Silk spinners
filatori e venditori di filo e drappi di lino,Spinners and sellers of thread and linen cloth
filosellari,"Silk waste spinners (producers of filoselle, a lower-quality silk thread)"
fioreri,Flower merchants and florists
fishermen (la barca),Fishermen operating boats
fishermen (pescatori di porta dei greci),Fishermen of the Greek Gate
fishermen (piscaturi),"Fishermen (general term, regional spelling)"
follatori,Fullers (wool fabric processors)
fondacchieri,Warehouse keepers and lodging-house managers
fonticari e biadaioli,Oil traders and grain merchants
forgers (forgiatori),Blacksmiths specializing in forging metal objects
formaggiai,Cheese makers
formaggiari,Cheese vendors and traders
formaggieri e droghieri,Cheese merchants and spice dealers
formellari di bottoni,Button mold makers
fornaceri da vetro,Glass furnace workers
fornaciai,Brick makers and kiln operators
fornaciai del vetro,Glass kiln operators
fornaciari,Kiln workers and brick manufacturers
fornaciari da materiali,Kiln operators for construction materials
fornaciariis,Kiln workers
fornai,Bakers (bread makers)
fornai da massara,Bakers supplying monasteries and large institutions
fornai da massaro,Bakers serving noble or feudal households
"fornai e mugnai, pistori e molinari","Bakers, millers, and flour processors"
fornai e panettieri,Bread bakers and pastry makers
fornari,Bakers or oven operators
fornari da pane venale e da pane delle massare,Bakers of commercial bread and household bread
fornari e legnettari,Bakers and firewood suppliers
fornari e tarallari cuocitori di pane,Bread bakers and taralli makers
fornasieri,Kiln workers and brickmakers
forneri,Bakers (variant spelling of Fornai)
franfellicciari e torronari,Candied fruit and nougat makers
fraveghi e orefici,Brass workers and goldsmiths
friggitori,Fried food vendors
frittoleri,Fritter and doughnut makers
fruttaioli,Fruit vendors
fruttaroli,Fruit and vegetable sellers
"fruttaroli, limonari e pollaroli","Fruit sellers, lemon merchants, and poultry vendors"
fruttivendoli,Fruit and vegetable retailers
funari,Rope makers
furnariis,Bakers
furriers (pelliccerii),Fur traders and furriers
furriers (pellicciaria),Furriers specializing in finished fur garments
fusori e moscolari,Metal casters and candle makers
fustagneri,Fustian fabric merchants and tailors
galere (monte),Financial or trade institution related to galleys (ships)
gallineri,Poultry farmers and egg sellers
gallonari,Braid and trim makers
garavani,Pack-saddle makers
"gargiolai, capestrai, spadolari e linaroli","Buckle makers, rope makers, sword hilt makers, and linen workers"
garzatori di lana,Wool cloth finishers (nappers)
garzatori di panni lana,Wool fabric nappers
garzatori e tonditori di fustagno,Wool fabric finishers and fustian shearers
"garzatori, cimatori e cottonatori di panni lana","Wool finishers, shearmen, and cotton processors"
"garzatori, cimatori e raspatori di fustagno","Fustian finishers, shearmen, and scrapers"
garzotti e arganotti,Thread refiners and reel makers
gioielleri da falso,Imitation jewelry makers
giponeri,Doublet and jacket makers
glass makers (vetrai),Glassblowers and glass artisans
gold and silver beaters (battioro e argento),Gold and silver leaf artisans
"gold and silversmiths (arginteri, orefici)",Fine metalworkers and jewelers
gold beaters (tiradori di oro),Gold leaf artisans
gold platers (mastri doratori),Master gilders
gold platters (addoratori),Gilders (alternative term for gold platers)
gold platters (tiratori d'oro),Gold refiners and leaf makers
goldsmiths (aurifici),Gold jewelry makers
goldsmiths (orefici),Goldsmiths and jewelers
goldsmiths and silversmiths (argentieri/orefici),Jewelry makers and fine metalworkers
gongolari e salzumari,Gondola operators and salted meat traders
grocers (cavallari),Grocers (possibly related to horse transport)
guantari,Glove makers
guarnamentari di carrozze,Carriage decorators and upholsterers
gun makers (balistreri),Crossbow makers
gun makers (schioppettieri),Gunmakers and musket craftsmen
gun makers (scopettieri),Gun manufacturers
habardashers (merceri),General dealers in small sewing goods and accessories
haberdashers (merceri di mercia minuta),Dealers in small sewing notions and trimmings
haberdashers (merceri di robba vecchia),Secondhand clothing and fabric dealers
haberdashers (mercia minuta),Dealers in small accessories and fine fabrics
hairdressers (parrucchieri),Wig makers and hairstylists
hat makers (berrettai),Cap makers and hat makers
hat makers (cappellieri),Hat makers (broad category)
hatters (cappellieri,Hat manufacturers and merchants
hospitibus et tabernariis,Innkeepers and tavern owners
incassatori di archibugi,Gun stock makers (for arquebuses and muskets)
indoradori,Gold gilders
indoradori e dipintori,Gilders and painters
indoratori,Gold gilders and decorative artists
inn keepers (li tavemari),Tavern owners and public house operators
inn keepers (tabernari),Tavern and innkeepers
inn keepers (tavimari),Innkeepers and lodging house owners
innkeepers (li tavirnari),Tavern keepers and food vendors
intagliatori,Wood and stone carvers
jacket makers (gipponari),Tailors specializing in doublets and jackets
jacket-makers (gipponari),Tailors specializing in doublets and jackets
key makers (chiavittari),Locksmiths and key makers
key makers (chiavitteri),Locksmiths and key makers
knife makers (cutilleri),Cutlers (knife and blade makers)
"lana, arte della",The Art of Wool (Wool Guild)
lanaioli,Wool merchants and traders
lanaiuoli,Wool weavers and textile producers
lanari,Wool processors and dealers
lanaroli,Wool traders and distributors
laneri,Wool processors and wool fabric merchants
lanieri,Wool fabric makers and sellers
lardaroli,Pork butchers and lard sellers
lardaroli e speziali,Pork butchers and spice merchants
"lardaroli, bottegai e formaggiari","Pork butchers, shopkeepers, and cheesemongers"
lasagneri,Pasta makers (lasagna specialists)
lattai,Milk sellers and dairy merchants
lattari e ricottari,Milk vendors and ricotta makers
lattoneri,Tinsmiths and sheet metal workers
lattonieri,Tinsmiths and metal artisans
lavoranti calzettai,Journeyman stocking makers
lavoranti calzolai,Journeyman shoemakers
lavoranti cappellai,Journeyman hat makers
lavoranti della lana,Wool workers (general category)
lavoranti e garzoni dei vermicellari,Journeyman and apprentices of pasta makers
lavoranti orefici,Journeyman goldsmiths
lavoranti tipografi,Journeyman printers and typographers
lavoratori di fustagno,Fustian fabric workers
lavorazione del legno,Woodworking and carpentry
leather workers (conciatori di pelle o curviseli),Tanners and leather finishers
leather workers (conzarioti),Leather refiners and curriers
leather workers (cuoiai),General leatherworkers
legali,Lawyers and legal professionals
legnaiuoli,Carpenters and woodworkers
legnaroli,Lumber dealers and wood merchants
letterati,Scholars and literati
letterati e curiali,Scholars and court officials
librai,Booksellers and publishers
librai e stampatori,Booksellers and printers
librari e stampatori,Booksellers and typographers
librei a conti e carta bianca,Account book and blank paper sellers
ligaballe,Bale packers and textile transporters
ligadori da fontico,Warehouse packers and storage workers
ligatori di balle e lavatori di lane,Bale packers and wool washers
ligrittieri e pannilini,Wool carders and cloth finishers
lime workers (calcinari),Lime kiln workers and plaster makers
linaioli,Linen merchants and weavers
linaiuoli,Linen textile producers
linaroli,Flax workers and linen traders
linen weaver (linaioli),Linen textile craftsmen
linen weavers (linalori),Linen spinners and fabric makers
luganegheri,Sausage makers and butchers
maccaroli,Pasta makers (possibly macaroni specialists)
maccaronari,Macaroni and pasta vendors
macellai,Butchers
macellari,Butchers
macellariis,Butchers
maestre di scuole pie,Teachers in religious schools (Pious Schools)
